,All.Treatment,PLOT,Genotype,No.Plants.est,No.Stems,Senescence,Treatment,Sowing,Altitude,M.Height,M.Thickness,M.Leaves,Year,BioM.Index,BioM.Index_NA,Harvist,Harvist_NA,DW,DW_NA,MC,Germ.First.20,Germ.First.32,Germ.First.50,Germ.15.43,Temp1,Temp5,Temp15,Temp40,Wat1,Wat5,Wat15,Wat40
1,Pr1,1,Pr1,7,7,0,none,7,High,0.6,1.333333333,2.333333333,2013 Dat,4.2,4.2,NA,NA,NA,NA,NA,0.333333333,2.8,5,4.8,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
2,Control,1,Control,3,3,2,none,7,High,0.4,1,2,2013 Dat,1.2,1.2,NA,NA,NA,NA,NA,0,2.2,4.428571429,4.2,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
3,Pr1,2,Pr1,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0.6,0.75,NA,NA,NA,NA,NA,NA,NA,NA
4,Control,2,Control,3,3,NA,none,8,High,0.3,1,1,2013 Dat,0.9,0.9,NA,NA,NA,NA,NA,0,1,3.4,4.25,NA,NA,NA,NA,NA,NA,NA,NA
5,Pr1 Treated,3,Pr1,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.333333333,0.4,0.25,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
6,Treated,3,Control,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.666666667,0.6,0.5,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
7,Pr1 Treated,4,Pr1,15,52,3,Treated,5,High,8.1875,3.875,4.125,2013 Dat,425.75,425.75,NA,NA,NA,NA,NA,8,13.4,17,16.8,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
8,Treated,4,Control,20,78,3,Treated,5,High,9.285714286,4,4.357142857,2013 Dat,724.2857143,724.2857143,NA,NA,NA,NA,NA,12,20.6,23.28571429,26.6,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
9,Pr1 Treated,5,Pr1,1,1,5,Treated,7,High,3,3,4,2013 Dat,3,3,NA,NA,NA,NA,NA,1.333333333,2.4,2.714285714,3,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
10,Treated,5,Control,2,2,5,Treated,7,High,2.5,1,2,2013 Dat,5,5,NA,NA,NA,NA,NA,3.666666667,6,5.714285714,7.2,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
11,Pr1,6,Pr1,3,5,7,none,3,High,4.5,5,5,2013 Dat,22.5,22.5,NA,NA,NA,NA,NA,0.5,2.25,2.714285714,3,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
12,Control,6,Control,8,59,5,none,3,High,9.4375,4.375,5.125,2013 Dat,556.8125,556.8125,NA,NA,NA,NA,NA,2,13.75,20,21.6,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
13,Pr1 Treated,7,Pr1,1,7,5,Treated,3,High,7.5,3,4,2013 Dat,52.5,52.5,NA,NA,NA,NA,NA,0,0.5,1.285714286,1.2,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
14,Treated,7,Control,30,87,2,Treated,3,High,11.88461538,3.792307692,4.846153846,2013 Dat,1033.961538,1033.961538,NA,NA,NA,NA,NA,0,5.25,13.85714286,13.4,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
15,Pr1,8,Pr1,3,3,10,none,6,High,0.8,2,3,2013 Dat,2.4,2.4,NA,NA,NA,NA,NA,0.5,1.25,2.714285714,2.2,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
16,Control,8,Control,3,3,10,none,6,High,1.2,1,2,2013 Dat,3.6,3.6,NA,NA,NA,NA,NA,0,1,5.428571429,4.4,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
17,Pr1,9,Pr1,2,17,2,none,1,High,10,6.666666667,4.666666667,2013 Dat,170,170,NA,NA,NA,NA,NA,0,0,2.333333333,2.333333333,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
18,Control,9,Control,7,26,5,none,1,High,8.916666667,5,4.666666667,2013 Dat,231.8333333,231.8333333,NA,NA,NA,NA,NA,0,0,3.333333333,3.333333333,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
19,Pr1,10,Pr1,1,13,3,none,1,High,9.5,4,5,2013 Dat,123.5,123.5,NA,NA,NA,NA,NA,0,0,2,2,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
20,Control,10,Control,8,30,1,none,1,High,4.5,2.428571429,4.428571429,2013 Dat,126,126,NA,NA,NA,NA,NA,0,0,4.666666667,4.666666667,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
21,Pr1,11,Pr1,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
22,Control,11,Control,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
23,Pr1 Treated,12,Pr1,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
24,Treated,12,Control,2,16,1,Treated,2,High,10,5.5,5.5,2013 Dat,160,160,NA,NA,NA,NA,NA,0.5,3,2.8,2.75,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
25,Pr1,13,Pr1,2,2,4,none,7,High,0.4,1,3,2013 Dat,0.8,0.8,NA,NA,NA,NA,NA,1,3.8,6,6.2,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
26,Control,13,Control,23,23,5,none,7,High,0.5,1,3,2013 Dat,11.5,11.5,NA,NA,NA,NA,NA,1,9.6,19,18,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
27,Pr1 Treated,14,Pr1,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
28,Treated,14,Control,0,0,NA,Treated,2,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.59091667,13.2954,14.90412083,15.21988646,0.114416667,0.101191667,0.089647222,0.098479167
29,Treated,15,Control,10,28,4,Treated,4,High,3.272727273,1.272727273,4,2013 Dat,91.63636364,91.63636364,NA,NA,NA,NA,NA,0,4.2,11.14285714,9.8,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
30,Pr1 Treated,15,Pr1,4,4,7,Treated,4,High,1.333333333,1,3.333333333,2013 Dat,5.333333332,5.333333332,NA,NA,NA,NA,NA,0,0.2,1.428571429,0.6,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
31,Pr1,16,Pr1,5,28,1,none,2,High,8.25,3.25,5.25,2013 Dat,231,231,NA,NA,NA,NA,NA,5,5.666666667,4.8,5,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
32,Control,16,Control,20,85,1,none,2,High,9.3,3.3,5.5,2013 Dat,790.5,790.5,NA,NA,NA,NA,NA,7.5,14,17.2,15.25,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
33,Pr1,17,Pr1,3,16,1,none,2,High,8,4,5,2013 Dat,120,120,NA,NA,NA,NA,NA,4,5.666666667,4.4,4.75,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
34,Control,17,Control,30,160,3,none,2,High,9.40625,3.8125,4.9375,2013 Dat,1505,1505,NA,NA,NA,NA,NA,38.5,49,58.8,55.75,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
35,Pr1 Treated,18,Pr1,0,0,NA,Treated,1,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
36,Treated,18,Control,0,0,NA,Treated,1,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
37,Pr1 Treated,19,Pr1,20,68,1,Treated,4,High,14.30769231,4.615384615,4.769230769,2013 Dat,972.9230771,972.9230771,NA,NA,NA,NA,NA,21.33333333,26,28.85714286,33.4,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
38,Treated,19,Control,40,119,0,Treated,4,High,12.96428571,3.892857143,4.428571429,2013 Dat,1542.749999,1542.749999,NA,NA,NA,NA,NA,25.33333333,34.2,38.85714286,44.6,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
39,Pr1,20,Pr1,2,2,7,none,4,High,1.75,1.5,3.5,2013 Dat,3.5,3.5,NA,NA,NA,NA,NA,0,0.4,0.285714286,0.4,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
40,Control,20,Control,5,12,5,none,4,High,3.25,3,4.25,2013 Dat,39,39,NA,NA,NA,NA,NA,0,0.2,3.571428571,3,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
41,Pr1,21,Pr1,0,0,NA,none,5,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,2,1.4,1,1.4,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
42,Control,21,Control,26,26,4,none,5,High,2.125,2.75,3.625,2013 Dat,55.25,55.25,NA,NA,NA,NA,NA,23.33333333,27.6,28.71428571,34,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
43,Pr1 Treated,22,Pr1,0,0,NA,Treated,3,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
44,Treated,22,Control,10,57,3,Treated,3,High,8.875,3.875,4.25,2013 Dat,505.875,505.875,NA,NA,NA,NA,NA,11.5,16,16.57142857,19.4,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
45,Pr1,23,Pr1,10,52,5,none,4,High,11.375,4.5,4.75,2013 Dat,591.5,591.5,NA,NA,NA,NA,NA,6.333333333,11.4,16.42857143,16.6,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
46,Control,23,Control,10,65,5,none,4,High,12.05555556,4.222222222,4.777777778,2013 Dat,783.6111114,783.6111114,NA,NA,NA,NA,NA,16,19.6,25.28571429,27.2,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
47,Pr1,24,Pr1,1,3,4,none,3,High,11,4,5,2013 Dat,33,33,NA,NA,NA,NA,NA,0,0.25,0.571428571,0.6,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
48,Control,24,Control,5,26,5,none,3,High,5.5,4,5.5,2013 Dat,143,143,NA,NA,NA,NA,NA,1,5,5.285714286,6.4,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
49,Pr1,25,Pr1,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
50,Control,25,Control,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
51,Pr1 Treated,26,Pr1,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
52,Treated,26,Control,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
53,Pr1,27,Pr1,3,7,6,none,4,High,4.333333333,2.666666667,4,2013 Dat,30.33333333,30.33333333,NA,NA,NA,NA,NA,0,0.4,0.714285714,1,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
54,Control,27,Control,10,22,7,none,4,High,2.722222222,2.222222222,3.5,2013 Dat,59.88888888,59.88888888,NA,NA,NA,NA,NA,0,2.6,7.571428571,6.8,12.72433333,13.46128333,14.48567222,15.49508333,0.055125,0.042833333,0.034155556,0.049694792
55,Pr1 Treated,28,Pr1,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,1,2,2.6,3.25,NA,NA,NA,NA,NA,NA,NA,NA
56,Treated,28,Control,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,2,5.5,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA
57,Pr1 Treated,29,Pr1,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
58,Treated,29,Control,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
59,Pr1,30,Pr1,2,2,10,none,5,High,3,3,3,2013 Dat,6,6,NA,NA,NA,NA,NA,1.666666667,1.6,1.142857143,1.6,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
60,Control,30,Control,24,24,9,none,5,High,2.75,2.125,3.625,2013 Dat,66,66,NA,NA,NA,NA,NA,15,23.4,26.71428571,30.6,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
61,Pr1 Treated,31,Pr1,10,38,7,Treated,5,High,6.75,3.9,4.1,2013 Dat,256.5,256.5,NA,NA,NA,NA,NA,4.666666667,8.8,12.85714286,12.6,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
62,Treated,31,Control,50,147,5,Treated,5,High,12.88888889,3.277777778,4.111111111,2013 Dat,1894.666667,1894.666667,NA,NA,NA,NA,NA,43.66666667,63,79.42857143,85,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
63,Pr1 Treated,32,Pr1,9,9,8,Treated,6,High,4,2.75,4.25,2013 Dat,36,36,NA,NA,NA,NA,NA,5,12.25,16.71428571,21,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
64,Treated,32,Control,15,15,9,Treated,6,High,3.428571429,1.571428571,3.428571429,2013 Dat,51.42857144,51.42857144,NA,NA,NA,NA,NA,8,17,22.57142857,27.2,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
65,Pr1 Treated,33,Pr1,9,10,10,Treated,6,High,4.166666667,2.666666667,4.666666667,2013 Dat,41.66666667,41.66666667,NA,NA,NA,NA,NA,6.5,14.5,15.42857143,18.4,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
66,Treated,33,Control,13,13,10,Treated,6,High,3.5,2.333333333,3.333333333,2013 Dat,45.5,45.5,NA,NA,NA,NA,NA,12,29,31.28571429,38.8,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
67,Pr1 Treated,34,Pr1,0,0,NA,Treated,7,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0.666666667,2.6,4.285714286,4.4,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
68,Treated,34,Control,33,33,10,Treated,7,High,2.125,1.1,3,2013 Dat,70.125,70.125,NA,NA,NA,NA,NA,8,12.6,16.14285714,15.6,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
69,Pr1 Treated,35,Pr1,10,23,8,Treated,5,High,6.857142857,3.857142857,4.285714286,2013 Dat,157.7142857,157.7142857,NA,NA,NA,NA,NA,7,8.4,11.14285714,12,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
70,Treated,35,Control,20,54,7,Treated,5,High,8.307692308,3,4.230769231,2013 Dat,448.6153846,448.6153846,NA,NA,NA,NA,NA,22,27,30.28571429,33.6,18.704375,18.18279167,17.93177778,17.09813281,0.074125,0.084358333,0.095533333,0.081990625
71,Pr1 Treated,36,Pr1,8,8,10,Treated,6,High,3.183333333,1.5,2.833333333,2013 Dat,25.46666666,25.46666666,NA,NA,NA,NA,NA,2.5,4.25,4.857142857,5.8,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
72,Treated,36,Control,27,27,10,Treated,6,High,3.681818182,1.818181818,3.181818182,2013 Dat,99.40909091,99.40909091,NA,NA,NA,NA,NA,24,43,51.71428571,63.6,16.64354167,16.9225,16.34435417,15.61690278,0.064541667,0.062283333,0.062233333,0.070565476
73,Pr1 Treated,37,Pr1,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,1.666666667,4,5.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA
74,Treated,37,Control,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,3.666666667,7,8.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA
75,Pr1,38,Pr1,1,1,7,none,1,High,6,3,4,2013 Dat,6,6,NA,NA,NA,NA,NA,0,0,4,4,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
76,Control,38,Control,3,5,4,none,1,High,6,3,4,2013 Dat,30,30,NA,NA,NA,NA,NA,0,0,3.333333333,3.333333333,NA,8.354514706,8.625775974,9.599238987,NA,0.071926471,0.091477273,0.085505507
77,Treated,39,Control,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,5.333333333,7.5,8.8,11,NA,NA,NA,NA,NA,NA,NA,NA
78,Pr1 Treated,39,Pr1,0,0,NA,Treated,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0.666666667,1.25,1.4,1.75,NA,NA,NA,NA,NA,NA,NA,NA
79,Pr1,40,Pr1,1,1,8,none,6,High,0.5,0.5,3,2013 Dat,0.5,0.5,NA,NA,NA,NA,NA,0,0.5,0.857142857,0.8,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
80,Control,40,Control,0,0,NA,none,6,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.25,3.285714286,1,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
81,Pr1,41,Pr1,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
82,Control,41,Control,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.5,3,3.75,NA,NA,NA,NA,NA,NA,NA,NA
83,Pr1,42,Pr1,0,0,NA,none,6,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.25,0.571428571,0.6,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
84,Control,42,Control,0,0,NA,none,6,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,1.75,4.285714286,2.6,15.0175,15.35244167,14.40409444,13.35155357,0.045041667,0.053716667,0.047366667,0.051962302
85,Pr1 Treated,43,Pr1,0,0,NA,Treated,1,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
86,Treated,43,Control,0,0,NA,Treated,1,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0.333333333,0.333333333,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
87,Pr1,44,Pr1,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0.333333333,0.75,1.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA
88,Control,44,Control,0,0,NA,none,8,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,2,5,6.25,NA,NA,NA,NA,NA,NA,NA,NA
89,Pr1,45,Pr1,20,75,4,none,2,High,20,5.875,5.375,2013 Dat,1500,1500,NA,NA,NA,NA,NA,20.5,23,23.8,22.75,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
90,Control,45,Control,30,192,2,none,2,High,12.875,4.375,5,2013 Dat,2472,2472,NA,NA,NA,NA,NA,63,67.66666667,67.6,67.75,10.194125,9.52255,11.05333056,12.07730208,0.090875,0.085791667,0.077786111,0.063032292
91,Pr1 Treated,46,Pr1,0,0,NA,Treated,7,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,1.666666667,2.6,3.285714286,3.6,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
92,Treated,46,Control,0,0,NA,Treated,7,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0.2,0.857142857,0.6,12.18347917,12.3153125,12.3153125,12.3153125,0.054375,0.109510417,0.109510417,0.109510417
93,Pr1,47,Pr1,4,9,7,none,3,High,6.875,5.25,4.75,2013 Dat,61.875,61.875,NA,NA,NA,NA,NA,0.5,1.75,1.714285714,2,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
94,Control,47,Control,10,55,7,none,3,High,12.40909091,4.636363636,4,2013 Dat,682.5000001,682.5000001,NA,NA,NA,NA,NA,0.5,17.25,22.14285714,25.6,14.88958333,13.14361667,12.43589444,14.40569792,0.053458333,0.050308333,0.052963889,0.042970833
95,Pr1 Treated,48,Pr1,1,1,10,Treated,1,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,2,2,2.666666667,2.666666667,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
96,Treated,48,Control,4,22,8,Treated,1,High,13.25,5.25,5.25,2013 Dat,291.5,291.5,NA,NA,NA,NA,NA,0,0,2.666666667,2.666666667,NA,9.930632353,10.67086851,12.43901597,NA,0.10775,0.111506494,0.10445815
97,Pr1,49,Pr1,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
