,All.Treatment,PLOT,Genotype,No.Plants.est,No.Stems,Senescence,Treatment,Sowing,Altitude,M.Height,M.Thickness,M.Leaves,Year,BioM.Index,BioM.Index_NA,Harvist,Harvist_NA,DW,DW_NA,MC,Germ.First.20,Germ.First.32,Germ.First.50,Germ.15.43,Temp1,Temp5,Temp15,Temp40,Wat1,Wat5,Wat15,Wat40
98,Control,49,Control,0,0,NA,none,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
99,Pr1 Treated,50,Pr1,1,6,7,Treated,3,High,8.75,5,5,2013 Dat,52.5,52.5,NA,NA,NA,NA,NA,0,0.5,1.142857143,1.2,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
100,Treated,50,Control,50,229,7,Treated,3,High,18.56666667,3.866666667,4.466666667,2013 Dat,4251.766667,4251.766667,NA,NA,NA,NA,NA,21,44,59,66.6,16.74145833,15.9905,15.00585417,17.3782474,0.101125,0.093741667,0.100633333,0.086102083
101,Pr1,51,Pr1,3,3,10,none,7,High,0.8,5,2,2013 Dat,2.4,2.4,NA,NA,NA,NA,NA,0.333333333,1.6,3,2.6,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
102,Control,51,Control,8,8,10,none,7,High,0.95,1,2.5,2013 Dat,7.6,7.6,NA,NA,NA,NA,NA,0,4.8,10.14285714,9.6,7.635166667,9.267052083,9.267052083,9.267052083,0.036791667,0.076072917,0.076072917,0.076072917
103,Pr1 Treated,52,Pr1,30,106,6,Treated,4,High,15.64285714,4.785714286,4.928571429,2013 Dat,1658.142857,1658.142857,NA,NA,NA,NA,NA,18.66666667,22.6,24.14285714,27.6,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
104,Treated,52,Control,50,145,NA,Treated,4,High,13.125,3.583333333,4.25,2013 Dat,1903.125,1903.125,NA,NA,NA,NA,NA,32,38.4,44,48,15.80645833,17.31858333,18.30555556,18.39151563,0.11,0.096333333,0.079236111,0.081880208
105,Pr1 Treated,53,Pr1,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
106,Treated,53,Control,0,0,NA,Treated,9,High,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
107,Pr1,54,Pr1,1,1,NA,none,5,High,2,1,3,2013 Dat,2,2,NA,NA,NA,NA,NA,0.666666667,1,1,1.2,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
108,Control,54,Control,11,11,7,none,5,High,6.25,4.5,4,2013 Dat,68.75,68.75,NA,NA,NA,NA,NA,10.66666667,15.4,15.42857143,18.4,15.30416667,15.33463333,15.48268611,15.00900208,0.044375,0.066291667,0.072794444,0.062298958
109,Pr1 Treated,55,Pr1,14,31,5,Treated,5,Low,3.875,1.75,4.5,2013 Dat,120.125,120.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
110,Treated,55,Control,9,15,5,Treated,5,Low,3.777777778,2.125,4,2013 Dat,56.66666667,56.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
111,Pr1,56,Pr1,0,0,NA,none,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Control,56,Control,0,0,NA,none,9,Low,NA,1,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Pr1 Treated,57,Pr1,6,77,6,Treated,3,Low,23.5,6.36,6.75,2013 Dat,1809.5,1809.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
114,Treated,57,Control,8,99,6,Treated,3,Low,21.11428571,4.851428571,6.166666667,2013 Dat,2090.314285,2090.314285,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
115,Pr1,58,Pr1,1,13,4,none,3,Low,12,5.8,6,2013 Dat,156,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
116,Control,58,Control,1,4,5,none,3,Low,9,3.61,5.5,2013 Dat,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
117,Pr1,59,Pr1,2,33,4,none,1,Low,16.5,5.245,6,2013 Dat,544.5,544.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
118,Control,59,Control,3,33,3,none,1,Low,16.5,5.41,5,2013 Dat,544.5,544.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
119,Pr1 Treated,60,Pr1,0,0,NA,Treated,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Treated,60,Control,0,0,NA,Treated,8,Low,9,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Pr1 Treated,61,Pr1,20,33,5,Treated,5,Low,4.181818182,2.181818182,3.818181818,2013 Dat,138,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
122,Treated,61,Control,0,0,NA,Treated,5,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
123,Pr1,62,Pr1,0,0,NA,none,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
124,Control,62,Control,0,0,NA,none,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
125,Pr1,63,Pr1,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Control,63,Control,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Pr1,64,Pr1,0,0,NA,none,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
128,Control,64,Control,0,0,NA,none,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
129,Pr1 Treated,65,Pr1,7,12,1,Treated,5,Low,4.666666667,2.5,3.6,2013 Dat,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
130,Treated,65,Control,5,7,2,Treated,5,Low,4,1.4,3.6,2013 Dat,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791667,0.193162791,0.193162791,0.193162791
131,Pr1,66,Pr1,0,0,NA,none,5,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
132,Control,66,Control,0,0,NA,none,5,Low,10,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
133,Pr1 Treated,67,Pr1,2,7,4,Treated,4,Low,5.5,2,3.5,2013 Dat,38.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
134,Treated,67,Control,3,7,5,Treated,4,Low,7.666666667,1.666666667,4,2013 Dat,53.66666667,53.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
135,Pr1 Treated,68,Pr1,7,93,7,Treated,2,Low,22.14285714,6.155,6.125,2013 Dat,2059.285714,2059.285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
136,Treated,68,Control,3,37,8,Treated,2,Low,29,9.12,6.666666667,2013 Dat,1073,1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
137,Pr1,69,Pr1,0,0,NA,none,6,Low,NA,6.695,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Control,69,Control,0,0,NA,none,6,Low,NA,6.69,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Pr1,70,Pr1,1,7,3,none,2,Low,13,6.05,6,2013 Dat,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
140,Control,70,Control,0,0,NA,none,2,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
141,Pr1 Treated,71,Pr1,2,18,5,Treated,1,Low,17,6.55,5,2013 Dat,306,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
142,Treated,71,Control,1,6,3,Treated,1,Low,2,4.11,4,2013 Dat,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
143,Pr1,72,Pr1,0,0,NA,none,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Control,72,Control,0,0,NA,none,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Pr1 Treated,73,Pr1,3,37,4,Treated,2,Low,18.33333333,5.286666667,5.666666667,2013 Dat,678.3333332,678.3333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
146,Treated,73,Control,2,30,7,Treated,2,Low,24,8.355,6.5,2013 Dat,720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
147,Pr1,74,Pr1,0,0,NA,none,8,Low,16,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Control,74,Control,0,0,NA,none,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Pr1 Treated,75,Pr1,7,58,6,Treated,1,Low,27.8,7.846666667,6.833333333,2013 Dat,1612.4,1612.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
150,Treated,75,Control,4,32,7,Treated,1,Low,24.5,6.7225,7,2013 Dat,784,784,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
151,Pr1 Treated,76,Pr1,0,0,NA,Treated,8,Low,28,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Treated,76,Control,0,0,NA,Treated,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Pr1,77,Pr1,9,77,4,none,1,Low,31.66666667,5.85125,8,2013 Dat,2438.333334,2438.333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
154,Control,77,Control,9,86,5,none,1,Low,32.375,6.53875,7,2013 Dat,2784.25,2784.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
155,Pr1,78,Pr1,0,0,NA,none,6,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Control,78,Control,0,0,NA,none,6,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Pr1 Treated,79,Pr1,8,92,6,Treated,2,Low,36.42857143,6.615714286,9,2013 Dat,3351.428572,3351.428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
158,Treated,79,Control,1,27,6,Treated,2,Low,30,5.4,7,2013 Dat,810,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.96690678,22.9473324,20.45260438,0.2239375,0.247408333,0.207306944,0.189411979
159,Pr1,80,Pr1,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Control,80,Control,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Pr1,81,Pr1,2,4,3,none,5,Low,17.25,1.365,4,2013 Dat,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
162,Control,81,Control,0,0,NA,none,5,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
163,Pr1 Treated,82,Pr1,0,0,NA,Treated,3,Low,25,5.138181818,6.727272727,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
164,Treated,82,Control,0,0,NA,Treated,3,Low,21,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
165,Pr1 Treated,83,Pr1,12,74,4,Treated,3,Low,19.4,3.78375,6.7,2013 Dat,1435.6,1435.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
166,Treated,83,Control,5,90,6,Treated,3,Low,24.8,6.266666667,7.8,2013 Dat,2232,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.20904167,18.40208333,21.03048246,0.182270833,0.14775,0.189048611,0.136306806
167,Pr1 Treated,84,Pr1,0,0,NA,Treated,9,Low,NA,5.5,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Treated,84,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Pr1 Treated,85,Pr1,0,0,NA,Treated,1,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
170,Treated,85,Control,0,0,NA,Treated,1,Low,NA,3.67,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.65679306,19.95567902,0.061,0.0634125,0.140322222,0.188114583
171,Pr1,86,Pr1,0,0,NA,none,6,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Control,86,Control,0,0,NA,none,6,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Pr1 Treated,87,Pr1,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Treated,87,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Pr1 Treated,88,Pr1,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Treated,88,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Pr1 Treated,89,Pr1,2,2,3,Treated,4,Low,3,1.065,2,2013 Dat,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
178,Treated,89,Control,0,0,NA,Treated,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
179,Pr1 Treated,90,Pr1,0,0,NA,Treated,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Treated,90,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Pr1 Treated,91,Pr1,4,4,2,Treated,6,Low,1.5,1.083333333,2.333333333,2013 Dat,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Treated,91,Control,11,11,2,Treated,6,Low,2,1,2,2013 Dat,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,Pr1,92,Pr1,0,0,NA,none,4,Low,NA,NA,2,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
184,Control,92,Control,0,0,NA,none,4,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95583333,19.79295833,20.58556944,20.73556548,0.129166667,0.095045833,0.064534722,0.070974406
185,Pr1 Treated,93,Pr1,9,9,3,Treated,6,Low,1.833333333,1.366666667,2.2,2013 Dat,16.5,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Treated,93,Control,12,12,3,Treated,6,Low,1.714285714,1.6,2.714285714,2013 Dat,20.57142857,20.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Pr1,94,Pr1,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Control,94,Control,0,0,NA,none,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Pr1,95,Pr1,0,0,NA,none,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Control,95,Control,0,0,NA,none,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Pr1,96,Pr1,0,0,NA,none,3,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
192,Control,96,Control,0,0,NA,none,3,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.99416667,17.61575,16.47892222,18.85354386,0.065791667,0.0396,0.090990278,0.078610471
193,Pr1 Treated,97,Pr1,0,0,NA,Treated,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Treated,97,Control,0,0,NA,Treated,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Pr1,98,Pr1,0,0,NA,none,2,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
196,Control,98,Control,0,0,NA,none,2,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
197,Pr1,99,Pr1,0,0,NA,none,8,Low,NA,NA,2,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Control,99,Control,0,0,NA,none,8,Low,NA,NA,2,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Pr1 Treated,100,Pr1,1,1,0,Treated,6,Low,2,1,NA,2013 Dat,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Treated,100,Control,2,2,1,Treated,6,Low,1.5,1,2,2013 Dat,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Pr1 Treated,101,Pr1,2,2,1,Treated,8,Low,NA,NA,4.5,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Treated,101,Control,9,9,8,Treated,8,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Pr1,102,Pr1,3,9,3,none,5,Low,3.666666667,2.276666667,2,2013 Dat,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
204,Control,102,Control,0,0,NA,none,5,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790698,0.173790698,0.173790698
205,Pr1,103,Pr1,0,0,NA,none,2,Low,18,4.48,6,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
206,Control,103,Control,0,0,NA,none,2,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91791667,16.77745763,16.86698324,16.99367641,0.123270833,0.148445833,0.078183333,0.088326042
207,Pr1 Treated,104,Pr1,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Treated,104,Control,0,0,NA,Treated,7,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Pr1,105,Pr1,0,0,NA,none,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Control,105,Control,0,0,NA,none,9,Low,NA,NA,NA,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Pr1 Treated,106,Pr1,0,0,NA,Treated,4,Low,3,1.475,3.75,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
212,Treated,106,Control,0,0,NA,Treated,4,Low,4.5,1.83,3,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.84220833,23.65216667,23.23306548,0.185333333,0.147175,0.101688889,0.101841865
213,Pr1,107,Pr1,0,0,NA,none,1,Low,6.5,3.645,4,2013 Dat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62520833,14.07172917,12.70801111,14.4300929,0.034291667,0.035170833,0.107776389,0.103339583
